rank,ASN-ASname,category
1,37100-SEACOM Limited,XX
2,3741-Internet Solutions,ZA
3,3356-Level 3 Communications,US
4,174-Cogent Communications,XX
5,5713-Telkom SA Ltd.,ZA
6,37271-Workonline Communicati,ZA
7,37179-Africa Independent Net,ZA
8,36937-Liquid Telecommunicati,ZA
9,2914-NTT America Inc.,XX
10,6453-TATA COMMUNICATIONS (A,XX
