1561579491.63; 2019-06-26 13:04:51.629406;  anr-be--143.129.80.134--AS2611; 41.189.23.135--41.189.20.0/22--AS36923; 124593
1561579494.99; 2019-06-26 13:04:54.985025;  anr-be--143.129.80.134--AS2611; 41.58.45.215--41.58.32.0/20--AS36923; 124594
1561579498.32; 2019-06-26 13:04:58.324935;  aal-dk--192.168.1.10--AS197288; 41.58.234.25--41.58.224.0/20--AS36923; 124595
1561667911.99; 2019-06-27 13:38:31.988512;  anr-be--143.129.80.134--AS2611; 41.189.23.135--41.189.20.0/22--AS36923; 140394
1561667915.53; 2019-06-27 13:38:35.528892;  anr-be--143.129.80.134--AS2611; 41.58.45.215--41.58.32.0/20--AS36923; 140395
1561667919.08; 2019-06-27 13:38:39.084795;  aal-dk--192.168.1.10--AS197288; 41.58.234.25--41.58.224.0/20--AS36923; 140396
1561756628.7; 2019-06-28 14:17:08.700907;  anr-be--143.129.80.134--AS2611; 41.189.23.135--41.189.20.0/22--AS36923; 156116
1561756632.11; 2019-06-28 14:17:12.105054;  anr-be--143.129.80.134--AS2611; 41.58.45.215--41.58.32.0/20--AS36923; 156117
1561756635.47; 2019-06-28 14:17:15.468868;  aal-dk--192.168.1.10--AS197288; 41.58.234.25--41.58.224.0/20--AS36923; 156118
