rank,ASN-ASname,category
1,3356-Level 3 Communications,US
2,174-Cogent Communications,US
3,6939-Hurricane Electric In,US
4,7018-AT&T Services Inc.,US
5,209-Qwest Communications C,US
6,3549-Level 3 Communications,US
7,6461-Zayo Bandwidth,US
8,701-MCI Communications Ser,US
9,1299-Telia Company AB,XX
10,3257-GTT Communications Inc,XX
11,2828-MCI Communications Ser,US
12,2914-NTT America Inc.,XX
13,46887-Lightower Fiber Networ,US
14,22773-Cox Communications Inc,US
15,6128-Cablevision Systems Co,US
16,20115-Charter Communications,US
17,7029-Windstream Communicati,US
18,7922-Comcast Cable Communic,US
19,7843-Time Warner Cable Inte,US
20,1239-Sprint,US
21,27064-DoD Network Informatio,US
22,10796-Time Warner Cable Inte,US
23,6453-TATA COMMUNICATIONS (A,XX
24,33491-Comcast Cable Communic,US
25,721-DoD Network Informatio,US
26,32787-Akamai Technologies I,XX
27,3561-Savvis,US
28,11427-Time Warner Cable Inte,US
29,16657-Fibertech Networks LL,US
30,5650-Frontier Communication,US
31,7385-Integra Telecom Inc.,US
32,7015-Comcast Cable Communic,US
33,11404-vanoppen.biz LLC,US
35,23005-SWITCH LTD,US
36,26554-US Signal Company L.L,US
37,33132-Fibernet Direct,US
38,2152-California State Unive,US
39,20001-Time Warner Cable Inte,US
40,13789-Internap Network Servi,US
41,13649-ViaWest,US
42,13536-Tech Valley Communicat,US
43,33651-Comcast Cable Communic,US
44,62-CyrusOne LLC,US
45,2711-Spirit Communications,US
46,7016-Comcast Cable Communic,US
47,12083-WideOpenWest Finance L,US
48,22561-CenturyTel Internet Ho,US
49,33657-Comcast Cable Communic,US
50,19271-Peak 10,US
51,6079-RCN,US
52,20473-Choopa LLC,XX
53,6181-Cincinnati Bell Teleph,US
54,22925-Allied Telecom Group ,US
55,11426-Time Warner Cable Inte,US
56,11351-Time Warner Cable Inte,US
57,11537-Internet2,US
58,2381-WiscNet,US
59,33287-Comcast Cable Communic,US
60,19108-Suddenlink Communicati,US
61,367-DoD Network Informatio,US
62,33659-Comcast Cable Communic,US
63,11096-FloridaNet,US
64,293-ESnet,US
65,33363-BRIGHT HOUSE NETWORKS,US
66,12182-Internap Network Servi,US
67,55002-Duplicate of ARIN AS55,XX
68,33667-Comcast Cable Communic,US
69,14265-TPx Communications,US
70,27065-DoD Network Informatio,US
71,15305-Syringa Networks LLC,US
72,15164-Unite Private Networks,US
73,10912-Internap Network Servi,US
74,11164-Internet2,US
75,33660-Comcast Cable Communic,US
76,7795-LUMOS Networks Inc.,US
77,36086-Telx,US
78,10913-Internap Network Servi,US
79,29838-Atlantic Metro Communi,US
80,600-OARnet,US
81,33668-Comcast Cable Communic,US
82,27552-TowardEX Technologies ,US
83,5056-Aureon Network Service,US
84,12129-123.Net Inc.,US
85,19151-WV FIBER,US
86,13876-FiberLight LLC,US
87,7725-Comcast Cable Communic,US
88,10310-Yahoo!,US
89,25899-LS Networks,US
90,17054-CONTINENTAL BROADBAND ,US
91,17378-TIERPOINT PENNSYLVANIA,US
92,8220-COLT Technology Servic,XX
93,13977-FAIRPOINT COMMUNICATIO,US
94,7381-SunGard Availability S,US
95,13760-Southern Light LLC,US
96,13576-SOUTH DAKOTA NETWORK,US
97,4637-Telstra Global - Custo,XX
98,4181-TDS TELECOM,US
99,62943-Bluebird Network,US
100,19551-Incapsula Inc,XX
