rank,ASN-ASname,category
1,174-Cogent Communications,US
2,2860-NOS COMUNICACOES S.A.,PT
3,15525-MEO - SERVICOS DE COMU,PT
4,8657-MEO - SERVICOS DE COMU,XX
5,8220-COLT Technology Servic,XX
6,1299-Telia Company AB,XX
7,3243-MEO - SERVICOS DE COMU,PT
8,6453-TATA COMMUNICATIONS (A,XX
9,3356-Level 3 Communications,US
10,3257-GTT Communications Inc,XX
