rank,ASN-ASname,category
1,3549-Level 3 Communications,US
2,8048-CANTV Servicios Venez,VE
3,3356-Level 3 Communications,US
4,52320-GlobeNet Cabos Submari,BR
5,23520-Columbus Networks USA,XX
6,11562-Net Uno C.A.,VE
7,3257-GTT Communications Inc,XX
8,1299-Telia Company AB,XX
9,27717-Corporacion Digitel C.,VE
10,6762-TELECOM ITALIA SPARKLE,XX
