rank,ASN-ASname,category
1,37100-SEACOM Limited,XX
2,3741-Internet Solutions,ZA
3,3356-Level 3 Communications,US
4,5713-Telkom SA Ltd.,ZA
5,174-Cogent Communications,US
6,37271-Workonline Communicati,ZA
7,36937-Liquid Telecommunicati,ZA
8,37179-Africa Independent Net,ZA
9,2914-NTT America Inc.,XX
10,6453-TATA COMMUNICATIONS (A,XX
11,11845-Vox Telecom Ltd,ZA
