
8 62.115.122.159 (ash-bb3-link.telia.net) 159.287ms    AS1299 62.115.0.0/16
9 62.115.119.195 (boca-b1-link.telia.net) 189.133ms    AS1299 62.115.0.0/16
10 62.115.162.37 (angolacables-ic-335057-boca-b1.c.telia.net) 174.436ms    AS1299 62.115.0.0/16
11 170.238.232.22 (pe1-nce012.br.spa.as37468.angolacables.ao) 277.499ms    AS37468 170.238.232.20/30
12 170.238.234.25 () 277.954ms    AS37468 170.238.232.0/22
13 200.220.128.46 (100g.200.220.128.46.nipcable.com) 277.901ms    AS27693 200.220.128.0/21
14 200.220.143.26 (as28162-l1.26.nipbr.com.br) 281.316ms    AS27693 200.220.136.0/21
15 186.250.192.10 (186-250-192-10.ibl.com.br) 278.182ms    AS28162 186.250.192.0/23
16 186.250.196.121 (186-250-196-121.ibl.com.br) 294.449ms    AS28162 186.250.196.0/23

1561530739.16; 2019-06-25 23:32:19.164874;  hkg-cn--213.254.227.26--AS3257; 191.7.144.24--191.7.144.0/24--AS263320; 115639
src=213.254.227.26 dst=191.7.144.24
1 213.254.227.25 (ae1-46.cr1-hkg1.ip4.gtt.net) 0.276ms    AS8928 213.254.227.0/24
2 89.149.137.201 (xe-9-1-5.cr1-lon1.ip4.gtt.net) 211.93ms    AS3257 89.149.128.0/18
3 46.33.78.58 (ip4.gtt.net) 179.036ms    AS3257 46.33.64.0/19
4 170.238.232.53 () 284.711ms    AS37468 170.238.232.52/31
5 170.238.232.22 (pe1-nce012.br.spa.as37468.angolacables.ao) 387.375ms    AS37468 170.238.232.20/30
6 170.238.234.25 () 391.289ms    AS37468 170.238.232.0/22
7 200.220.128.145 (200.220.128.145.nipcable.com) 386.771ms    AS27693 200.220.128.0/21
8 200.220.143.38 (peering-sansara.nipbr.com.br) 392.388ms    AS27693 200.220.136.0/21
9 200.220.143.38 (peering-sansara.nipbr.com.br) 3390.646ms    AS27693 200.220.136.0/21

1561530742.51; 2019-06-25 23:32:22.513011;  hkg-cn--213.254.227.26--AS3257; 191.241.131.65--191.241.131.0/24--AS263671; 115640
src=213.254.227.26 dst=191.241.131.65
1 213.254.227.25 (ae1-46.cr1-hkg1.ip4.gtt.net) 0.271ms    AS8928 213.254.227.0/24
2 89.149.137.201 (xe-9-1-5.cr1-lon1.ip4.gtt.net) 178.766ms    AS3257 89.149.128.0/18
3 46.33.78.58 (ip4.gtt.net) 182.282ms    AS3257 46.33.64.0/19
4 170.238.232.49 () 288.18ms    AS37468 170.238.232.48/31
5 170.238.232.34 (pe2-nc021.br.ftz.as37468.angolacables.ao) 361.16ms    AS37468 170.238.232.32/30
6 170.238.233.46 () 351.037ms    AS37468 170.238.233.44/30
7 170.238.233.29 () 347.417ms    AS37468 170.238.233.28/30
8 170.238.235.49 () 306.735ms    AS37468 170.238.232.0/22
9 190.15.104.250 () 353.215ms    AS61568 190.15.104.0/23

1561530745.86; 2019-06-25 23:32:25.857011;  sdv-il--128.139.197.127--AS378; 187.103.5.213--187.103.0.0/20--AS53098; 115641
src=128.139.197.127 dst=187.103.5.213
1 128.139.179.1 (gp1-iucc.iucc.ac.il) 3.369ms    AS378 128.139.0.0/16
2 83.97.88.93 (iucc-ias-geant-gw.lon.uk.geant.net) 56.472ms    AS21320 83.97.88.0/21
3 62.40.98.128 () 70.857ms    AS21320 62.40.96.0/19
4 62.40.98.187 () 71.052ms    AS21320 62.40.96.0/19
5 149.29.9.9 () 70.963ms    AS174 149.29.0.0/16
6 130.117.0.1 (be3186.ccr41.fra03.atlas.cogentco.com) 71.053ms    AS174 130.117.0.0/16
7 154.54.58.234 (be2799.ccr41.par01.atlas.cogentco.com) 80.324ms    AS174 154.48.0.0/12
8 66.28.4.197 (be3627.ccr41.jfk02.atlas.cogentco.com) 155.214ms    AS174 66.28.0.0/16
9 154.54.40.106 (be2806.ccr41.dca01.atlas.cogentco.com) 159.598ms    AS174 154.48.0.0/12
10 154.54.7.158 (be2112.ccr41.atl01.atlas.cogentco.com) 170.353ms    AS174 154.48.0.0/12
11 154.54.24.146 (be3482.ccr21.mia01.atlas.cogentco.com) 183.292ms    AS174 154.48.0.0/12
12 154.54.47.230 () 183.504ms    AS174 154.48.0.0/12
13 38.142.154.10 () 183.338ms    AS174 38.0.0.0/8
14 187.110.227.142 () 267.95ms    AS28598 187.110.226.0/23
15 177.126.119.154 () 319.814ms    AS52720 177.126.116.0/22
16 177.85.201.94 () 320.117ms    AS52554 177.85.201.0/24
17 187.103.0.74 (187-103-0-74.newnet.com.br) 320.742ms    AS53098 187.103.0.0/20
18 187.103.5.213 (187-103-5-213.newnet.com.br) 321.648ms    AS53098 187.103.0.0/20

1561530749.2; 2019-06-25 23:32:29.200955;  hkg-cn--213.254.227.26--AS3257; 138.36.113.174--138.36.112.0/22--AS264576; 115642
src=213.254.227.26 dst=138.36.113.174
1 213.254.227.25 (ae1-46.cr1-hkg1.ip4.gtt.net) 0.33ms    AS8928 213.254.227.0/24
2 89.149.137.201 (xe-9-1-5.cr1-lon1.ip4.gtt.net) 178.827ms    AS3257 89.149.128.0/18
3 46.33.78.58 (ip4.gtt.net) 178.934ms    AS3257 46.33.64.0/19
4 170.238.232.45 (pe2-nce011.us.bca.as37468.angolacables.ao) 284.751ms    AS37468 170.238.232.44/30
5 170.238.232.38 (pe2-nc022.br.ftz.as37468.angolacables.ao) 345.816ms    AS37468 170.238.232.36/30
6 170.238.233.42 () 347.497ms    AS37468 170.238.233.40/30
7 170.238.235.6 () 304.294ms    AS37468 170.238.232.0/22
8 191.7.217.226 (226.217.7.191.online.net.br) 321.367ms    AS263327 191.7.217.0/24
9 138.36.113.174 (174-113-36-138.bekaanet.com.br) 323.581ms    AS264576 138.36.112.0/22

1561530752.53; 2019-06-25 23:32:32.533004;  nrt-jp--203.181.248.51--AS7660; 138.185.18.134--138.185.18.0/23--AS264333; 115643
src=203.181.248.51 dst=138.185.18.134
1 203.181.248.60 (tpr5-xe0-0-0-v2.jp.apan.net) 19.484ms    AS7660 203.181.248.0/23
2 203.181.102.129 () 1.156ms    AS2516 203.181.96.0/19
3 27.85.199.197 () 2.531ms    AS2516 27.85.0.0/16
4 106.187.13.6 () 111.017ms    AS2516 106.187.0.0/18
5 111.87.3.226 () 108.323ms    AS2516 111.87.0.0/17
6 208.116.132.73 () 127.685ms    AS3257 208.116.128.0/17
7 213.200.121.22 () 164.981ms    AS3257 213.200.64.0/18
8 173.205.51.94 (ip4.gtt.net) 159.463ms    AS3257 173.205.0.0/18

1561530756.12; 2019-06-25 23:32:36.121000;  nrt-jp--203.181.248.51--AS7660; 186.209.65.39--186.209.65.0/24--AS265114; 115644
src=203.181.248.51 dst=186.209.65.39
1 203.181.248.60 (tpr5-xe0-0-0-v2.jp.apan.net) 0.216ms    AS7660 203.181.248.0/23
2 203.181.102.129 () 0.418ms    AS2516 203.181.96.0/19
3 27.85.199.201 () 1.427ms    AS2516 27.85.0.0/16
4 106.187.13.10 () 102.606ms    AS2516 106.187.0.0/18
5 111.87.3.118 () 99.653ms    AS2516 111.87.0.0/17
6 208.116.132.73 () 99.985ms    AS3257 208.116.128.0/17
7 213.200.113.146 () 174.652ms    AS3257 213.200.64.0/18
8 98.124.189.122 () 166.921ms    AS3257 98.124.128.0/18
9 177.126.110.77 () 280.109ms    AS28303 177.126.96.0/20
10 201.33.192.34 () 298.477ms    AS28284 201.33.192.0/23

1561530759.47; 2019-06-25 23:32:39.468968;  nrt-jp--203.181.248.51--AS7660; 187.33.247.117--187.33.247.0/24--AS53087; 115645
src=203.181.248.51 dst=187.33.247.117
1 203.181.248.60 (tpr5-xe0-0-0-v2.jp.apan.net) 0.259ms    AS7660 203.181.248.0/23
2 203.181.102.129 () 0.46ms    AS2516 203.181.96.0/19
3 27.85.199.197 () 58.421ms    AS2516 27.85.0.0/16
4 106.187.13.14 (sjegcs001.int-gw.kddi.ne.jp.13.187.106.in-addr.arpa) 102.011ms    AS2516 106.187.0.0/18
5 111.87.3.178 (ix-sj6.int-gw.kddi.ne.jp) 105.299ms    AS2516 111.87.0.0/17
6 64.125.12.245 () 105.288ms    AS6461 64.124.0.0/15
7 64.125.31.14 () 105.904ms    AS6461 64.124.0.0/15
8 64.125.30.232 () 186.98ms    AS6461 64.124.0.0/15
9 64.125.28.197 (ae2.cs2.lax112.us.eth.zayo.com) 186.299ms    AS6461 64.124.0.0/15
10 64.125.26.182 () 185.599ms    AS6461 64.124.0.0/15
11 64.125.28.122 (ae0.cs1.dfw2.us.eth.zayo.com) 183.838ms    AS6461 64.124.0.0/15
12 64.125.26.35 (ae4.mpr1.mia2.us.zip.zayo.com) 173.855ms    AS6461 64.124.0.0/15
13 64.125.28.10 (ae2.mpr1.mia2.us.zip.zayo.com) 171.349ms    AS6461 64.124.0.0/15

1561530762.85; 2019-06-25 23:32:42.852985;  cjj-kr--150.183.95.135--AS1237; 181.191.78.45--181.191.78.0/23--AS267452; 115646
src=150.183.95.135 dst=181.191.78.45
1 150.183.95.1 () 0.197ms    AS1237 150.183.0.0/16
2 134.75.23.9 () 0.186ms    AS1237 134.75.0.0/16
3 134.75.5.201 () 0.209ms    AS1237 134.75.0.0/16
4 134.75.2.1 () 2.826ms    AS1237 134.75.0.0/16
5 134.75.5.210 () 2.938ms    AS1237 134.75.0.0/16
6 203.234.255.165 () 3.485ms    AS4766 203.234.0.0/16
7 112.174.85.25 () 3.222ms    AS4766 112.168.0.0/13
8 112.174.85.54 () 28.962ms    AS4766 112.168.0.0/13
9 112.174.87.14 () 132.474ms    AS4766 112.168.0.0/13
10 199.229.230.189 (ae9.cr0-pao1.ip4.gtt.net) 145.952ms    AS3257 199.229.224.0/21
11 89.149.133.222 (et-0-0-35.cr6-mia1.ip4.gtt.net) 201.091ms    AS3257 89.149.128.0/18
12 98.124.189.122 () 216.203ms    AS3257 98.124.128.0/18
13 168.197.23.186 (et-0-0-4-0.ptx-b.spo511.algartelecom.com.br) 323.868ms    ASNone None
14 168.197.20.146 (168-197-020-146.static.algartelecom.com.br) 311.862ms    ASNone None
15 177.69.54.189 () 313.122ms    AS16735 177.69.0.0/16
16 177.185.176.30 (177-185-176-30.hinet.com.br) 309.193ms    AS267452 177.185.176.0/24
17 177.185.176.1 (177-185-176-1.hinet.com.br) 309.815ms    AS267452 177.185.176.0/24
18 177.185.176.30 (177-185-176-30.hinet.com.br) 323.26ms    AS267452 177.185.176.0/24

1561530766.2; 2019-06-25 23:32:46.196913;  nrt-jp--203.181.248.51--AS7660; 179.106.158.214--179.106.158.0/24--AS52537; 115647
src=203.181.248.51 dst=179.106.158.214
1 203.181.248.60 (tpr5-xe0-0-0-v2.jp.apan.net) 0.256ms    AS7660 203.181.248.0/23
2 203.181.249.21 (tyo-vyatta-eth0-7.jp.apan.net) 0.239ms    AS7660 203.181.248.0/23
3 203.181.102.129 () 0.432ms    AS2516 203.181.96.0/19
4 27.85.199.197 () 3.0ms    AS2516 27.85.0.0/16
5 106.187.13.14 (sjegcs001.int-gw.kddi.ne.jp.13.187.106.in-addr.arpa) 99.602ms    AS2516 106.187.0.0/18
6 111.87.3.194 (ix-sj7.int-gw.kddi.ne.jp) 105.303ms    AS2516 111.87.0.0/17
7 63.217.21.129 (te0-3-0-4.159.br04.sjo01.pccwbtn.net) 103.202ms    AS3491 63.217.20.0/22
8 63.223.46.42 (hundredge0-4-0-1.br03.mia02.pccwbtn.net) 171.106ms    AS3491 63.216.0.0/13
9 63.223.46.42 (hundredge0-4-0-1.br03.mia02.pccwbtn.net) 170.734ms    AS3491 63.216.0.0/13
10 63.217.112.38 (internexa.te0-1-0-5-52.br03.mia02.pccwbtn.net) 165.353ms    AS3491 63.217.112.0/21
11 186.219.36.41 () 283.292ms    AS262589 186.219.32.0/20
12 186.219.36.42 () 290.882ms    AS262589 186.219.32.0/20

1561530776.06; 2019-06-25 23:32:56.056896;  cjj-kr--150.183.95.135--AS1237; 191.7.148.77--191.7.148.0/24--AS263320; 115648
src=150.183.95.135 dst=191.7.148.77
1 150.183.95.1 () 0.17ms    AS1237 150.183.0.0/16
2 134.75.23.1 () 0.188ms    AS1237 134.75.0.0/16
3 134.75.5.197 () 0.207ms    AS1237 134.75.0.0/16
4 134.75.2.1 () 2.825ms    AS1237 134.75.0.0/16
5 134.75.5.210 () 160.595ms    AS1237 134.75.0.0/16
6 203.234.255.165 () 2.994ms    AS4766 203.234.0.0/16
7 112.174.85.25 () 3.317ms    AS4766 112.168.0.0/13
8 112.174.85.122 () 8.48ms    AS4766 112.168.0.0/13
9 112.174.87.2 () 129.535ms    AS4766 112.168.0.0/13
10 198.32.160.180 (embratel.nyiix.net) 201.733ms    AS7713 198.32.160.0/24
11 200.230.220.37 (ebt-b12211-tcore01.rjoen.embratel.net.br) 314.149ms    AS4230 200.230.0.0/16
12 200.230.252.158 (ebt-b10-tcore01.rjo.embratel.net.br) 339.816ms    AS4230 200.230.0.0/16
13 200.244.211.200 (ebt-h0-2-0-0-uacc04.rjo.embratel.net.br) 310.685ms    AS4230 200.244.0.0/16
14 200.167.43.46 (superimagem-t0-0-0-2-uacc04.rjo.embratel.net.br) 359.417ms    AS4230 200.167.0.0/16
15 186.237.165.250 (user-186-237-165-250.inova.net.br) 374.633ms    AS262813 186.237.165.0/24
16 191.7.152.2 () 367.837ms    AS263320 191.7.152.0/24

1561530786.27; 2019-06-25 23:33:06.272790;  nrt-jp--203.181.248.51--AS7660; 177.22.34.156--177.22.34.0/24--AS52981; 115649
src=203.181.248.51 dst=177.22.34.156
1 203.181.248.60 (tpr5-xe0-0-0-v2.jp.apan.net) 0.221ms    AS7660 203.181.248.0/23
2 203.181.102.129 () 0.415ms    AS2516 203.181.96.0/19
3 27.85.199.201 () 3.036ms    AS2516 27.85.0.0/16
4 106.187.13.18 (sjegcs002.int-gw.kddi.ne.jp) 105.56ms    AS2516 106.187.0.0/18
5 111.87.3.254 () 140.285ms    AS2516 111.87.0.0/17
6 124.215.192.14 () 105.584ms    AS2516 124.215.192.0/19
7 195.22.199.65 (xe8-2-2.fortaleza1.for.seabone.net) 263.387ms    AS6762 195.22.192.0/19
8 5.178.43.197 () 264.663ms    AS6762 5.178.40.0/21
9 177.22.32.67 () 240.214ms    AS52981 177.22.32.0/23

1561530789.67; 2019-06-25 23:33:09.667563;  cjj-kr--150.183.95.135--AS1237; 191.7.202.231--191.7.202.0/24--AS263327; 115650
src=150.183.95.135 dst=191.7.202.231
1 150.183.95.1 () 0.166ms    AS1237 150.183.0.0/16
2 134.75.23.9 () 0.191ms    AS1237 134.75.0.0/16
3 134.75.5.201 () 0.631ms    AS1237 134.75.0.0/16
4 134.75.2.1 () 2.823ms    AS1237 134.75.0.0/16
5 134.75.5.210 () 3.461ms    AS1237 134.75.0.0/16
6 203.234.255.165 () 24.465ms    AS4766 203.234.0.0/16

1561530793.04; 2019-06-25 23:33:13.044722;  nrt-jp--203.181.248.51--AS7660; 186.249.118.194--186.249.96.0/19--AS28276; 115651
src=203.181.248.51 dst=186.249.118.194
