rank,ASN-ASname,category
1,3549-Level 3 Communications,US
2,8048-CANTV Servicios Venez,VE
3,3356-Level 3 Communications,US
4,23520-Columbus Networks USA,XX
5,52320-GlobeNet Cabos Submari,BR
6,6939-Hurricane Electric In,US
7,11562-Net Uno C.A.,VE
8,174-Cogent Communications,US
9,6762-TELECOM ITALIA SPARKLE,XX
10,3257-GTT Communications Inc,XX
