rank,ASN-ASname,category
1,37100-SEACOM Limited,XX
2,3741-Internet Solutions,ZA
3,3356-Level 3 Communications,US
4,5713-Telkom SA Ltd.,ZA
5,174-Cogent Communications,US
6,36937-Liquid Telecommunicati,ZA
7,37271-Workonline Communicati,ZA
8,2914-NTT America Inc.,XX
9,37179-Africa Independent Net,ZA
10,6453-TATA COMMUNICATIONS (A,XX
11,11845-Vox Telecom Ltd,ZA
