rank,ASN-ASname,category
1,3356-Level 3 Communications,US
2,174-Cogent Communications,US
3,6939-Hurricane Electric In,US
4,7018-AT&T Services Inc.,US
5,209-Qwest Communications C,US
6,3549-Level 3 Communications,US
7,6461-Zayo Bandwidth,US
8,701-MCI Communications Ser,US
9,1299-Telia Company AB,XX
10,3257-GTT Communications Inc,XX
11,2914-NTT America Inc.,XX
12,2828-MCI Communications Ser,US
13,46887-Lightower Fiber Networ,US
14,22773-Cox Communications Inc,US
15,6128-Cablevision Systems Co,US
16,20115-Charter Communications,US
17,7029-Windstream Communicati,US
18,7922-Comcast Cable Communic,US
19,7843-Time Warner Cable Inte,US
20,1239-Sprint,US
21,27064-DoD Network Informatio,US
22,10796-Time Warner Cable Inte,US
23,33491-Comcast Cable Communic,US
24,6453-TATA COMMUNICATIONS (A,XX
25,721-DoD Network Informatio,US
26,32787-Akamai Technologies I,XX
27,5650-Frontier Communication,US
28,3561-Savvis,US
29,11427-Time Warner Cable Inte,US
30,16657-Fibertech Networks LL,US
31,7385-Integra Telecom Inc.,US
32,7015-Comcast Cable Communic,US
33,3491-PCCW Global Inc.,XX
34,11404-vanoppen.biz LLC,US
35,33132-Fibernet Direct,US
36,23005-SWITCH LTD,US
37,26554-US Signal Company L.L,US
38,13789-Internap Network Servi,US
39,2152-California State Unive,US
40,20001-Time Warner Cable Inte,US
41,13649-ViaWest,US
42,13536-Tech Valley Communicat,US
43,62-CyrusOne LLC,US
44,7016-Comcast Cable Communic,US
45,33651-Comcast Cable Communic,US
46,22561-CenturyTel Internet Ho,US
47,33657-Comcast Cable Communic,US
48,6079-RCN,US
49,12083-WideOpenWest Finance L,US
50,2711-Spirit Communications,US
51,33287-Comcast Cable Communic,US
52,11537-Internet2,US
53,22925-Allied Telecom Group ,US
54,19271-Peak 10,US
55,20473-Choopa LLC,XX
56,19108-Suddenlink Communicati,US
57,2381-WiscNet,US
58,11351-Time Warner Cable Inte,US
59,6181-Cincinnati Bell Teleph,US
60,367-DoD Network Informatio,US
61,11426-Time Warner Cable Inte,US
62,55002-Duplicate of ARIN AS55,XX
63,14265-TPx Communications,US
64,11096-FloridaNet,US
65,12182-Internap Network Servi,US
66,293-ESnet,US
67,33659-Comcast Cable Communic,US
68,33660-Comcast Cable Communic,US
69,33363-BRIGHT HOUSE NETWORKS,US
70,15164-Unite Private Networks,US
71,27065-DoD Network Informatio,US
72,33667-Comcast Cable Communic,US
73,15305-Syringa Networks LLC,US
74,7795-LUMOS Networks Inc.,US
75,11164-Internet2,US
76,10912-Internap Network Servi,US
77,10913-Internap Network Servi,US
78,600-OARnet,US
79,12129-123.Net Inc.,US
80,29838-Atlantic Metro Communi,US
81,19151-WV FIBER,US
82,13876-FiberLight LLC,US
83,10310-Yahoo!,US
84,7725-Comcast Cable Communic,US
85,36086-Telx,US
86,33668-Comcast Cable Communic,US
87,13760-Southern Light LLC,US
88,25899-LS Networks,US
89,5056-Aureon Network Service,US
90,4755-Tata Communications,IN
91,17378-TIERPOINT PENNSYLVANIA,US
92,4181-TDS TELECOM,US
93,27552-TowardEX Technologies ,US
94,17054-CONTINENTAL BROADBAND ,US
95,13977-FAIRPOINT COMMUNICATIO,US
96,1541-Headquarters USAISC,US
97,9498-BHARTI Airtel Ltd.,IN
98,7381-SunGard Availability S,US
99,4637-Telstra Global - Custo,XX
100,23520-Columbus Networks USA,XX
