
7 197.216.102.14 () 186.294ms    AS11259 197.216.0.0/15
8 41.210.240.175 () 186.937ms    AS37081 41.210.192.0/18
9 41.210.241.72 () 187.016ms    AS37081 41.210.192.0/18
10 41.210.241.44 () 186.779ms    AS37081 41.210.192.0/18

1561537259.56; 2019-06-26 01:20:59.556922;  dac-bd--119.40.82.245--AS24122; 41.70.198.82--41.70.192.0/18--AS37081; 116798
src=119.40.82.245 dst=41.70.198.82
1 119.40.82.129 () 0.642ms    AS24122 119.40.82.0/24
2 10.10.2.17 () 0.653ms    ASNone None
3 10.10.1.13 () 0.688ms    ASNone None
4 10.10.1.66 () 0.678ms    ASNone None
5 103.7.248.61 () 1.446ms    AS10075 103.7.248.0/22
6 163.47.159.154 () 1.334ms    AS10075 163.47.159.0/24
7 163.47.159.50 () 89.053ms    AS10075 163.47.159.0/24
8 27.111.228.81 (6939.sgw.equinix.com) 49.259ms    AS7713 27.111.228.0/22
9 184.105.65.14 (100ge11-1.core1.mrs1.he.net) 186.395ms    AS6939 184.104.0.0/15
10 184.105.222.21 (100ge4-2.core1.par2.he.net) 200.104ms    AS6939 184.104.0.0/15
11 184.105.223.253 (100ge11-1.core1.lon2.he.net) 204.217ms    AS6939 184.104.0.0/15
12 184.105.64.238 (100ge4-1.core1.lon3.he.net) 208.039ms    AS6939 184.104.0.0/15
13 216.66.87.106 (vuetel-italia-spa.10gigabitethernet11-10.core1.lon3.he.net) 224.996ms    AS6939 216.66.80.0/20
14 185.98.161.2 () 350.823ms    AS200507 185.98.160.0/22
15 41.74.240.122 () 357.935ms    AS11259 41.74.240.0/20
16 197.216.102.14 () 344.06ms    AS11259 197.216.0.0/15
17 41.210.240.104 () 344.532ms    AS37081 41.210.192.0/18
18 41.210.241.48 () 347.2ms    AS37081 41.210.192.0/18
19 41.210.243.218 () 348.084ms    AS37081 41.210.192.0/18

1561537262.99; 2019-06-26 01:21:02.992991;  cjj-kr--150.183.95.135--AS1237; 41.210.240.47--41.210.192.0/18--AS37081; 116799
src=150.183.95.135 dst=41.210.240.47
1 150.183.95.1 () 0.182ms    AS1237 150.183.0.0/16
2 134.75.23.9 () 0.203ms    AS1237 134.75.0.0/16
3 134.75.5.201 () 0.613ms    AS1237 134.75.0.0/16
4 39.125.86.249 () 0.427ms    AS9318 39.124.0.0/14
5 118.221.4.65 () 38.369ms    AS9318 118.221.0.0/16
6 110.9.3.70 () 37.793ms    AS9318 110.9.0.0/16
7 59.43.249.190 () 71.601ms    ASNone None
8 59.43.180.137 () 184.546ms    ASNone None
